collection_id_namespace	collection_local_id	project_id_namespace	project_local_id
https://www.lincsproject.org/	LDG-1133	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1216	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1375	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1376	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1377	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1378	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1364	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1365	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1374	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1366	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1367	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1370	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1368	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1371	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1369	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1372	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1373	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1267	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1268	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1269	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1270	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1271	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1272	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1273	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1274	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1275	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	LDG-1276	https://www.lincsproject.org/	LINCS phase 2
https://www.lincsproject.org/	EDS-1001	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	EDS-1002	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	EDS-1007	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	EDS-1006	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	EDS-1010	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	EDS-1011	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	EDS-1005	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	EDS-1012	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	EDS-1004	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	EDS-1009	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	EDS-1008	https://www.lincsproject.org/	LINCS phase 1
