subject_id_namespace	subject_local_id	role_id	taxonomy_id
http://www.lincsproject.org/	GTEX-R55D	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XLM4	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-N7MT	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-T8EM	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-U3ZM	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QMR6	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-O5YW	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-V1D1	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OXRN	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-RU1J	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-UJHI	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QXCU	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZLV1	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WFG8	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Y8DK	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OIZH	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Y5V5	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-P44H	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-TSE9	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WHPG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZVP2	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZDTS	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XUW1	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X261	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QV44	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZUA1	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZV7C	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OOBJ	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-SIU7	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-R53T	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZQG8	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-T2IS	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-PWO3	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WOFL	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZPCL	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QDVJ	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZTPG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X88G	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X4XX	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XUYS	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X4XY	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OIZI	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-TMZS	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OHPN	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-YB5E	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Q2AI	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QLQW	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QLQ7	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-U8T8	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XV7Q	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WQUQ	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZPU1	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OHPM	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-NPJ7	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WYJK	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QEL4	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZP4G	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XUZC	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-P4PQ	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-RU72	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-W5X1	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-QMRM	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-R55C	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-U3ZG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-SUCS	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X585	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-S7SE	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-SJXC	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZGAY	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-W5WG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WWYW	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZT9X	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WYVS	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-P4QT	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-S33H	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XOT4	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XBEC	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZAB4	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WY7C	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OXRK	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-POMQ	cfde_subject_role:0	NCBI:txid9606
